EMP_NUM,EMP_FNAME,EMP_LNAME,EMP_EMAIL,EMP_PHONE,EMP_HIREDATE,EMP_TITLE,EMP_COMM,DEPT_NUM
83304,TAMARA,MCDONALD,T.MCDONA3@LGCOMPANY.COM,453-9342,2006-10-20,ASSOCIATE,0,400
83308,CONNIE,LOVE,C.LOVE77@LGCOMPANY.COM,495-3082,1980-12-15,SENIOR ASSOCIATE,0,250
83312,ROSALBA,BAKER,R.BAKER9@LGCOMPANY.COM,632-8197,2012-12-12,ASSOCIATE,0,300
83314,CHAROLETTE,DAVID,C.DAVID84@LGCOMPANY.COM,726-5086,1987-02-17,ASSOCIATE,0,280
83318,DARCIE,PECK,D.PECK4@LGCOMPANY.COM,680-6124,2007-05-03,FREIGHT STOCKER,0,500
83321,ANGELINA,FARMER,A.FARMER86@LGCOMPANY.COM,734-7097,1989-09-08,BRAND ASSOCIATE,0,280
83332,WILLARD,LONG,W.LONG1@LGCOMPANY.COM,242-1979,2004-03-08,BRAND ASSOCIATE,0,280
83341,CHRISTINE,CORTEZ,C.CORTEZ85@LGCOMPANY.COM,508-3269,1988-07-28,ASSOCIATE,0,250
83347,QUINTIN,WINN,Q.WINN82@LGCOMPANY.COM,653-6753,1985-08-25,SENIOR FREIGHTER,0,500
83349,JENNIFFER,SINGH,J.SINGH87@LGCOMPANY.COM,722-9727,1990-01-07,SENIOR FREIGHTER,0,500
83359,MERLE,WATTS,M.WATTS90@LGCOMPANY.COM,406-3691,1993-10-22,SENIOR ASSOCIATE,0,300
83366,PHOEBE,BLEDSOE,P.BLEDSO99@LGCOMPANY.COM,686-7916,2002-08-14,ASSOCIATE,0,400
83371,ROXANE,MATHEWS,R.MATHEW94@LGCOMPANY.COM,512-3569,1997-08-08,FREIGHT STOCKER,0,500
83372,CLAUDINE,DAHL,C.DAHL90@LGCOMPANY.COM,326-1880,1993-10-29,DRIVER,0,550
83374,DARRON,TILLEY,D.TILLEY1@LGCOMPANY.COM,305-1308,2004-10-04,FREIGHT STOCKER,0,500
83378,FELICIA,DUNHAM,F.DUNHAM5@LGCOMPANY.COM,255-9624,2008-12-31,ASSOCIATE,0,600
83382,STELLA,CONKLIN,S.CONKLI80@LGCOMPANY.COM,511-5282,1983-03-28,ASSOCIATE,0,400
